
  Apex Trust Bank — Web Server
  http://localhost:5005

 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5005
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 124-350-404
127.0.0.1 - - [08/Mar/2026 15:47:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:36:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:36:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:36:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:37:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:37:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:37:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:37:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:38:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:38:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:38:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:38:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:39:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:39:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:39:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:39:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:40:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:40:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:40:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:40:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:41:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:41:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:41:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:41:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:42:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:42:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:42:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:42:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:43:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:43:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:43:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:43:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:21] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:22] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:39] "POST /api/deposit HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:39] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:44] "POST /api/deposit HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:44] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:52] "POST /api/deposit HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:52] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:54] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:54] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:54] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:57] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:44:58] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:45:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:45:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:45:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:45:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:34] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:35] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:35] "GET /api/beneficiaries HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:35] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:35] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:41] "[33mGET /api/account/4/qr HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Mar/2026 16:46:45] "GET /api/account/2/qr HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:50] "GET /api/tickets HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:51] "GET /api/beneficiaries HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:52] "GET /api/credit_cards HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:54] "GET /api/beneficiaries HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:46:57] "GET /api/loans HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:47:03] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:47:05] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 16:47:05] "GET /api/notifications/unread-count HTTP/1.1" 200 -
